Place of Origin;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20;2020/21;2021/22
Burundi;123;103;124;122;165;148;180;134;141;164;149;157
Djibouti;11;8;13;7;7;9;10;9;9;6;6;6
Eritrea;120;110;106;97;108;109;138;151;117;81;53;77
Ethiopia;1392;1334;1463;1516;1472;1517;1847;2118;2061;2356;2166;2680
Kenya;4666;3898;3516;3201;3072;3019;3189;3322;3451;3710;3502;3799
Rwanda;457;465;565;720;800;928;1088;1232;1292;1444;1333;1226
Seychelles;6;10;16;16;14;20;16;11;16;11;9;6
Somalia;26;34;30;15;32;35;50;67;76;68;97;92
South Sudan;-;-;8;18;28;36;48;76;63;102;95;100
Sudan;236;180;187;186;233;253;324;331;319;318;324;360
Tanzania;1006;906;950;889;867;840;811;824;834;859;699;749
Uganda;820;779;783;762;762;776;779;818;848;870;886;905
Cameroon;1659;1530;1472;1285;1212;1210;1334;1382;1188;1027;930;927
Central African Republic;29;28;28;11;13;13;15;14;17;12;13;11
Chad;99;84;89;81;61;52;66;75;65;51;52;61
Congo, Republic of the (Brazzaville);240;249;309;282;288;337;268;298;284;255;280;190
Congo, Dem. Rep. of the (Kinshasa);252;320;386;571;755;949;1137;1123;1164;1198;1125;1266
Equatorial Guinea;119;164;196;253;314;339;360;335;280;247;226;186
Gabon;431;402;378;397;388;410;363;332;327;280;272;229
São Tomé & Príncipe;2;1;3;3;1;1;2;3;0;1;1;1
Angola;699;779;812;985;1184;1296;1257;1183;1014;814;673;541
Botswana;229;175;216;228;257;246;296;233;214;246;218;231
Comoros;23;9;19;27;32;32;10;12;18;40;23;21
Eswatini;146;154;182;177;165;192;183;188;181;174;181;169
Lesotho;51;46;41;41;56;61;59;55;58;69;69;70
Madagascar;146;133;124;151;122;126;143;132;159;181;181;209
Malawi;269;258;252;275;272;289;317;306;311;315;287;342
Mauritius;247;205;228;221;231;250;283;288;311;332;323;281
Mozambique;76;67;88;91;108;109;120;111;113;127;131;145
Namibia;73;63;65;61;67;76;93;101;105;121;122;107
Reunion;7;1;2;2;1;5;2;6;1;2;4;6
South Africa;1669;1610;1816;1716;1838;1813;1911;2040;2042;2224;2079;2375
Zambia;560;535;496;502;465;473;469;450;445;464;440;512
Zimbabwe;1135;1161;1170;1206;1245;1295;1330;1324;1343;1377;1304;1507
Benin;289;313;318;291;287;259;248;234;246;234;210;201
Burkina Faso;626;631;627;526;567;540;533;567;514;483;420;367
Cabo Verde;55;87;81;69;64;102;80;67;52;61;63;44
Côte d’Ivoire;904;955;980;1116;1227;1229;1353;1349;1392;1257;1115;1034
Gambia, The;385;383;328;300;275;274;299;261;243;239;219;231
Ghana;2900;2769;2863;2914;3099;3049;3111;3213;3661;4221;4229;4916
Guinea;139;104;79;80;109;94;94;98;107;92;104;76
Guinea-Bissau;12;12;10;15;9;18;9;10;16;13;9;8
Liberia;172;159;172;161;168;205;221;262;255;260;232;269
Mali;481;402;383;315;356;331;310;302;291;285;270;254
Mauritania;60;61;71;63;81;97;103;106;84;67;53;53
Niger;247;279;194;217;199;246;177;288;257;277;197;246
Nigeria;7148;7028;7316;7921;9494;10674;11710;12693;13423;13762;12860;14438
Saint Helena;4;1;1;0;0;3;1;1;8;2;0;2
Senegal;600;681;688;633;633;603;569;544;504;485;430;445
Sierra Leone;183;130;123;146;152;167;209;200;181;199;201;197
Togo;241;250;218;231;238;209;210;199;189;214;196;193
China;157558;194029;235597;274439;304040;328547;350755;363341;369548;372532;317299;290086
Hong Kong;8136;8032;8026;8104;8012;7923;7547;7162;6917;6778;5878;5848
Japan;21290;19966;19568;19334;19064;19060;18780;18753;18105;17554;11785;13449
Macau;497;505;533;552;573;586;605;555;558;503;422;394
Mongolia;1259;1423;1361;1444;1481;1434;1410;1481;1336;1438;1258;1355
North Korea;16;15;17;19;8;18;8;3;2;1;2;4
South Korea;73351;72295;70627;68047;63710;61007;58663;54555;52250;49809;39491;40755
Taiwan;24818;23250;21867;21266;20993;21127;21516;22454;23369;23724;19673;20487
Afghanistan;429;371;449;450;471;498;506;476;418;422;354;420
Bangladesh;2873;3314;3828;4802;5455;6513;7143;7496;8249;8838;8598;10597
Bhutan;115;100;133;127;128;143;148;152;146;154;116;143
India;103895;100270;96754;102673;132888;165918;186267;196271;202014;193124;167582;199182
Kazakhstan;1890;1938;1969;2012;2017;1935;1792;1865;1879;2091;1830;2121
Kyrgyzstan;279;254;261;244;227;227;216;227;290;357;328;478
Maldives;34;29;33;39;34;37;40;32;25;29;23;23
Nepal;10301;9621;8920;8155;8158;9662;11607;13270;13229;12730;11172;11799
Pakistan;5045;4600;4772;4935;5354;6141;7015;7537;7957;7939;7475;8772
Sri Lanka;2965;2902;3046;2917;2882;3080;3263;3309;3334;3206;2770;2928
Tajikistan;249;298;312;270;254;235;204;222;229;242;205;183
Turkmenistan;210;209;178;214;201;216;231;234;280;272;269;223
Uzbekistan;560;486;445;463;491;530;505;570;571;546;538;631
Brunei;66;69;61;60;73;59;53;53;50;54;37;42
Burma;796;807;955;1042;1067;1194;1351;1569;1773;1828;1698;1909
Cambodia;340;333;393;432;492;499;512;659;685;742;848;875
Indonesia;6942;7131;7670;7920;8188;8727;8776;8650;8356;8300;7489;8003
Laos;49;43;50;57;63;63;91;104;96;131;113;101
Malaysia;6735;6743;6791;6822;7231;7834;8247;8271;7709;6910;5280;4933
Philippines;3604;3194;3215;3112;3026;2886;3006;3225;3320;3295;2907;3278
Singapore;4316;4505;4558;4592;4727;4865;4677;4575;4632;4504;3558;3901
Thailand;8236;7626;7314;7341;7217;7113;6893;6636;6503;6154;4960;5007
Timor-Leste;48;40;47;47;59;45;44;44;38;30;33;29
Vietnam;14888;15572;16098;16579;18722;21403;22438;24325;24392;23777;21631;20713
Albania;697;659;649;636;670;705;781;884;993;1095;1053;1026
Andorra;14;24;13;9;9;11;16;14;17;11;16;18
Armenia;350;363;345;272;304;270;280;313;328;339;318;366
Austria;1019;989;1036;1062;1114;1141;1111;1148;1098;1105;655;977
Azerbaijan;440;460;388;383;408;391;386;426;489;571;556;728
Belarus;347;358;355;306;330;323;319;351;378;388;356;357
Belgium;904;880;894;948;1001;1094;1087;1080;1073;1055;756;988
Bosnia and Herzegovina;356;341;364;319;296;309;303;290;300;287;261;257
Bulgaria;1957;1694;1473;1252;1171;1016;929;826;757;690;585;532
Croatia;583;552;581;529;523;527;537;528;516;472;393;392
Cyprus;470;438;425;419;417;401;388;410;431;432;374;413
Czech Republic;765;701;776;736;796;749;772;763;820;763;609;732
Czechoslovakia, Former;-;-;-;-;-;-;-;-;-;-;-;-
Denmark;1149;1233;1359;1470;1602;1486;1490;1423;1423;1264;608;1091
Estonia;228;241;218;212;288;191;179;186;184;177;156;178
