Country;UN group
Algeria;African Group
Angola;African Group
Benin;African Group
Botswana;African Group
Burkina Faso;African Group
Burundi;African Group
Cabo Verde;African Group
Cameroon;African Group
Central African Republic;African Group
Chad;African Group
Comoros;African Group
Congo;African Group
Côte d'Ivoire;African Group
Democratic Republic of the Congo;African Group
Djibouti;African Group
Egypt;African Group
Equatorial Guinea;African Group
Eritrea;African Group
Eswatini;African Group
Ethiopia;African Group
Gabon;African Group
Gambia;African Group
Ghana;African Group
Guinea;African Group
Guinea-Bissau;African Group
Kenya;African Group
Lesotho;African Group
Liberia;African Group
Libya;African Group
Madagascar;African Group
Malawi;African Group
Mali;African Group
Mauritania;African Group
Mauritius;African Group
Morocco;African Group
Mozambique;African Group
Namibia;African Group
Niger;African Group
Nigeria;African Group
Rwanda;African Group
Sao Tome and Principe;African Group
Senegal;African Group
Seychelles;African Group
Sierra Leone;African Group
Somalia;African Group
South Africa;African Group
South Sudan;African Group
Sudan;African Group
Togo;African Group
Tunisia;African Group
Uganda;African Group
United Republic of Tanzania;African Group
Zambia;African Group
Zimbabwe;African Group
Afghanistan;Asia and Pacific Group
Bahrain;Asia and Pacific Group
Bangladesh;Asia and Pacific Group
Bhutan;Asia and Pacific Group
Brunei Darussalam;Asia and Pacific Group
Cambodia;Asia and Pacific Group
China;Asia and Pacific Group
Cyprus;Asia and Pacific Group
Democratic People's Republic of Korea;Asia and Pacific Group
Fiji;Asia and Pacific Group
India;Asia and Pacific Group
Indonesia;Asia and Pacific Group
Iran (Islamic Republic of);Asia and Pacific Group
Iraq;Asia and Pacific Group
Japan;Asia and Pacific Group
Jordan;Asia and Pacific Group
Kazakhstan;Asia and Pacific Group
Kiribati;Asia and Pacific Group
Kuwait;Asia and Pacific Group
Kyrgyzstan;Asia and Pacific Group
Lao People's Democratic Republic;Asia and Pacific Group
Lebanon;Asia and Pacific Group
Malaysia;Asia and Pacific Group
Maldives;Asia and Pacific Group
Marshall Islands;Asia and Pacific Group
Micronesia (Federated States of);Asia and Pacific Group
Mongolia;Asia and Pacific Group
Myanmar;Asia and Pacific Group
Nauru;Asia and Pacific Group
Nepal;Asia and Pacific Group
Oman;Asia and Pacific Group
Pakistan;Asia and Pacific Group
Palau;Asia and Pacific Group
Papua New Guinea;Asia and Pacific Group
Philippines;Asia and Pacific Group
Qatar;Asia and Pacific Group
Republic of Korea;Asia and Pacific Group
Samoa;Asia and Pacific Group
Saudi Arabia;Asia and Pacific Group
Singapore;Asia and Pacific Group
